#name	ftp_path	organism	assembly_level
M_tub_PanR0209	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/405/GCF_000443405.1_fedora0209_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0301	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/895/GCF_000443895.1_fedora0301c_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0304	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/875/GCF_000443875.1_fedora0304b_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0305	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/915/GCF_000443915.1_fedora0305_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0306	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/855/GCF_000443855.1_fedora0306b_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0307	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/835/GCF_000443835.1_fedora0307c_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0308	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/815/GCF_000443815.1_fedora0308g_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0309	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/755/GCF_000443755.1_fedora0309c_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0311	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/935/GCF_000443935.1_fedora0311b_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0313	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/795/GCF_000443795.1_fedora0313c_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0314	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/715/GCF_000443715.1_fedora0314e_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0315	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/695/GCF_000443695.1_fedora0315_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0316	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/675/GCF_000443675.1_fedora0316c_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0317	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/655/GCF_000443655.1_fedora0317b_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0401	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/635/GCF_000443635.1_fedora0401c_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0402	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/615/GCF_000443615.1_fedora0402_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0403	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/595/GCF_000443595.1_fedora0403_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0404	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/575/GCF_000443575.1_fedora0404_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0405	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/545/GCF_000443545.1_fedora0405c_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0407	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/525/GCF_000443525.1_fedora0407b_IS	Mycobacterium tuberculosis	Chromosome
